emoji,keywords_ka,keywords_en
🏺,ქვევრი|მარანი|თიხა|არქეოლოგია|ქოთანი|ამფორა|თიხის ჭურჭელი|კერამიკა|კეცი|მერწყული|სარდაფი|სიძველე|ტრადიციული|ანტიკური|მუზეუმი|კახური ზეთი|ლობიო|მაწვნის შედედება|მაწონი|საბერძნეთი|ფაიფური|ყვავილების ლარნაკი|ძველი ღვინო|ჯონჯოლი|ისტორია|მუთაქა|კომპოტი|მაჭარი|მჟავეული|მუზეუმები|მუზეუმის დარბაზი|მწნილი|მჭადი|სოკო კეცზე|სუნელები|ქანდაკება|ღვინო|ლარნაკი,amphora|potter|glassblower|clay|antiques|sculptors|vase|antique|archaeologist|curios|moldmakers|potters|sculptor|sculptures|kilns|flea market|greek|curators|apothecaries|relics|aquarius|history|jugs|moldmaker|glassblowers|herbalists|shards|cooking|greece|cisterns|drink|basin|exhibit|exhibiting|tombs|wine|museum|jug|pottery|zodiac
🌍,დედამიწა|პლანეტა|გლობუსი|ეკოლოგია|ოლიმპიადა|წელი|დედამიწა: ევროპა და აფრიკა|ემიგრანტი|კლიმატი|მოგზაურობა|საზღვარგარეთი|ევროპა აფრიკა|თვითმფრინავი|მშვიდობა მსოფლიოს|ევროპა|გლობალური|გლობალური დათბობა|ლოცვა მშვიდობისთვის|მეტეორიტის ჩამოვარდნა|მსოფლიო|მშვიდობა|ქვეყანა|ქვეყნის მშვიდობა|დედამიწა აფრიკა,globe showing europe-africa|geographer|ambassador|diplomat|missionary|earth|world|globe|environmentalists|origins|ecologists|regions|geography|gnu|irl|planet|recycle|wildebeest|globetrotters|globe europe africa|earth africa|anthropologist|correspondent|environmentalist|nations|global|savanna|antelope|gazelle|impala|map|nonprofit|oryx|international|africa|elephant|giraffe|impacts|pollution|vast|zebra|europe
🌎,დედამიწა|დედამიწა: ამერიკა|ამერიკა|გეოგრაფია|დედამიწა ამერიკა|ოკეანე|მიწა|პლანეტა|მსოფლიო,globe showing americas|earth|world|globe|planet|earth americas|globe americas|international|americas
🌏,დედამიწა|დედამიწა: აზია და ავსტრალია|აზია ავსტრალია|დედამიწა აზია|პლანეტა|მსოფლიო,globe showing asia-australia|earth|world|globe|planet|earth asia|globe asia australia|international|asia|australia
🌐,ინტერნეტი|საიტი|გლობუსი|ქსელი|ქვეყანა|გლობუსი მერიდიანებით|გლობალური|ვაიფაი|ლინკი|ვებ|მერიდიანებიანი დედამიწა,globe with meridians|globe|internet|network|translators|world|interpreters|global|linguists|international|language|www|earth|web|meridians
🗺️,რუკა|ქვეყანა|მოგზაურობა|გეოგრაფია|რაიონი|ტურისტი|კომპასი|გლობუსი|გზის გაგნება|მსოფლიო რუკა|შორს|კომპასი მაგნიტური|ტურიზმი|გიდი|ექსკურსია|იქ|მოგზაური|ტური|გზა|დაკარგვა|ვიზა|ორიენტაცია,world map|cartographer|guide|explorer|geographer|navigator|map|guides|explorers|finding|travelers|guiding|wanderers|geography|navigation|location|travel|tourists|vagabonds|world|traveling|gps|countries|lands|maps|nations|plans|provinces|regions|route|territories|citizens|places|surveyors|tracking|wandering|consuls|states|way|ruins|archipelagos|locations|exploring|foreigners|wayfarers|directors|searching|compass|diplomats|gulfs|historian|zones|earth|adventure|voyagers|adventuring|ambassadors|backpackers|backpacking|branches|discoverers|discovering|envoys|geologist|geologists|globetrotters|governing|history|immigrants|prospectors|signs|treaties|coasts|deltas|foreigner|immigrant|signpost|trail|traveler|vlogging|atlas|directing|director|navigators|societies|straits|touring|areas|delegates|destinations|hijacking|natives
🗾,იაპონიის რუკა|იაპონია|რუკა,map of japan|japan|country|asia|island|map|geography
🧭,კომპასი|ორიენტაცია|ნავიგაცია|რუკა|გეოგრაფია|კომპასი მაგნიტური|გზის გაგნება|მოგზაურობა|მხარე|მიმართულება,compass|navigator|guide|explorer|surveyor|cicerone|guides|explorers|scouts|guiding|pioneers|direction|navigation|directors|map|adventurer|discoverers|discovering|exploring|gps|navigators|north|seeking|east|south|west|signpost|territories|travel|adventuring|directing|director|magnetic|sailors|seamen|questing|geography|lost|maps|journeying|destiny|orienteering
🏔️,მთა|მესტია|სვანეთი|ყაზბეგი|თუშეთი|მწვერვალი|ხევსურეთი|მთიულეთი|სტეფანწმინდა|მინერალური|ცხინვალი|არწივი|რაჭა|მთამსვლელი|ალპინიზმი|საქართველო|თოვლიანი მთა|მთიანეთი|მყინვარი|ალპები|ცივი|ზვავი|მინერალური წყალი|მოგზაურობა მთაში|მწყემსი|მთა თოვლით|საბაგირო|საბაგირო გონდოლა|სვანური|ცხვრის ფარა|კავკასიონი|თოვლი|თხილამურები|ლაშქრობა|მთის წყარო|ციგაობა|ცხვარი|წყალი გაზით|წყარო|ზამთარი,snow-capped mountain|mountain|mountains|tundra|crests|fjords|glacier|peaks|summits|tarns|giant|highlands|immense|mount everest|mountaineering|mountaineers|pass|peak|summit|alps|winter|avalanche|crags|ridges|hiking|nature|skiers|skiing|snowboarding|snow|hiker|mammoth|snow mountain|cold|trekking|snowy mountain|climber|snow capped mountain|valley|yak|mountain snow|conquering|grand|titanic|vast|adventurer|everest|guide|slope
⛰️,მთა|ქვა|ლეჩხუმი|მწვერვალი|ხეობა|მონასტერი|გორაკი|კანიონი|ბუნება|მეწყერი|ის|კლდე|ლაშქრობა|ჯიპი|სალამური|საქართველო|სუფთა ჰაერი|ფანდური|ხევსურეთი|პეიზაჟი,mountain|hill|cliffs|valley|hiking|downs|hills|moor|mountains|cave|climbing|hikers|rock|butte|canyon|cliff|crags|fells|glen|gorge|gorges|headlands|landslide|mesas|plateau|precipices|ravine|ravines|ridge|ridges|tarns|wolds|hike|nature|climbers|heath|canyons|rockfall|wilderness|boulder|boulders|climb|mudslide|vale|valleys|goatherds|monasteries|peak|rocks|cougar|crofters|marmot|rafting|brown bear|elk|grand canyon|grizzly|mount everest|pass|challengers|landscape|overcoming|panners|prospectors
